session_id,visitor_id,platform,country,event_date,reached_hlp,reached_lys,reached_amenities,reached_address,reached_calendar,reached_price,reached_publish,reached_new_listing,reached_active_listing
S0049,V0083,android,US,2024-01-02,true,false,false,false,false,false,false,false,false
S0050,V0253,android,US,2024-01-28,true,true,true,true,true,true,false,false,false
S0051,V0635,android,US,2024-01-19,true,false,false,false,false,false,false,false,false
S0052,V0210,android,US,2024-01-03,true,true,true,true,false,false,false,false,false
S0053,V0245,android,US,2024-01-22,true,false,false,false,false,false,false,false,false
S0054,V0308,android,US,2024-01-09,true,true,false,false,false,false,false,false,false
S0055,V0075,android,US,2024-01-15,true,true,false,false,false,false,false,false,false
S0056,V0103,android,US,2024-01-01,true,true,false,false,false,false,false,false,false
S0057,V0557,android,US,2024-01-03,true,true,true,true,true,true,true,true,true
S0058,V0670,android,US,2024-01-23,true,true,false,false,false,false,false,false,false
S0059,V0307,android,US,2024-01-17,true,true,false,false,false,false,false,false,false
S0060,V0138,android,US,2024-01-30,true,false,false,false,false,false,false,false,false
S0061,V0209,web,UK,2024-01-09,true,true,true,true,true,true,false,false,false
S0062,V0271,web,UK,2024-01-22,true,false,false,false,false,false,false,false,false
S0063,V0053,web,UK,2024-01-17,true,true,false,false,false,false,false,false,false
S0064,V0284,web,UK,2024-01-03,true,false,false,false,false,false,false,false,false
S0065,V0653,web,UK,2024-01-02,true,true,false,false,false,false,false,false,false
S0066,V0708,web,UK,2024-01-09,true,true,true,true,true,true,false,false,false
S0067,V0041,web,UK,2024-01-29,true,true,true,true,true,true,true,true,false
S0068,V0636,web,UK,2024-01-29,true,true,true,true,true,true,false,false,false
S0069,V0167,web,UK,2024-01-24,true,true,false,false,false,false,false,false,false
S0070,V0423,web,UK,2024-01-26,true,false,false,false,false,false,false,false,false
S0071,V0422,web,UK,2024-01-01,true,true,false,false,false,false,false,false,false
S0072,V0753,web,UK,2024-01-26,true,false,false,false,false,false,false,false,false
S0073,V0359,ios,UK,2024-01-26,true,true,true,true,true,true,true,true,false
S0074,V0234,ios,UK,2024-01-10,true,false,false,false,false,false,false,false,false
S0075,V0792,ios,UK,2024-01-08,true,true,true,true,false,false,false,false,false
S0076,V0340,ios,UK,2024-01-09,true,true,true,true,false,false,false,false,false
S0077,V0268,ios,UK,2024-01-31,true,true,false,false,false,false,false,false,false
S0078,V0040,ios,UK,2024-01-06,true,true,false,false,false,false,false,false,false
S0079,V0119,ios,UK,2024-01-04,true,true,true,true,true,false,false,false,false
S0080,V0195,ios,UK,2024-01-13,true,false,false,false,false,false,false,false,false
S0081,V0704,ios,UK,2024-01-09,true,true,true,true,false,false,false,false,false
S0082,V0755,android,UK,2024-01-24,true,false,false,false,false,false,false,false,false
S0083,V0339,android,UK,2024-01-22,true,true,true,false,false,false,false,false,false
S0084,V0738,android,UK,2024-01-20,true,true,false,false,false,false,false,false,false
S0085,V0694,android,UK,2024-01-29,true,true,true,true,true,true,true,true,false
S0086,V0631,android,UK,2024-01-24,true,false,false,false,false,false,false,false,false
S0087,V0453,android,UK,2024-01-19,true,true,true,true,true,true,true,true,true
S0088,V0754,android,UK,2024-01-22,true,true,true,false,false,false,false,false,false
S0089,V0291,android,UK,2024-01-06,true,false,false,false,false,false,false,false,false
S0090,V0635,android,UK,2024-01-17,true,false,false,false,false,false,false,false,false
S0091,V0241,web,India,2024-01-11,true,true,false,false,false,false,false,false,false
S0092,V0151,web,India,2024-01-22,true,true,false,false,false,false,false,false,false
S0093,V0626,web,India,2024-01-01,true,true,false,false,false,false,false,false,false
S0094,V0467,web,India,2024-01-28,true,false,false,false,false,false,false,false,false
S0095,V0590,web,India,2024-01-14,true,false,false,false,false,false,false,false,false
S0096,V0394,web,India,2024-01-07,true,false,false,false,false,false,false,false,false
S0097,V0789,web,India,2024-01-16,true,true,true,true,false,false,false,false,false
S0098,V0531,web,India,2024-01-29,true,true,true,true,false,false,false,false,false
S0099,V0468,web,India,2024-01-15,true,true,true,false,false,false,false,false,false
S0100,V0684,web,India,2024-01-05,true,false,false,false,false,false,false,false,false
S0101,V0610,web,India,2024-01-17,true,false,false,false,false,false,false,false,false
S0102,V0454,web,India,2024-01-11,true,false,false,false,false,false,false,false,false
S0103,V0517,web,India,2024-01-20,true,false,false,false,false,false,false,false,false
S0104,V0562,web,India,2024-01-14,true,false,false,false,false,false,false,false,false
S0105,V0762,web,India,2024-01-15,true,false,false,false,false,false,false,false,false
S0106,V0080,web,India,2024-01-28,true,true,true,true,true,true,true,true,true
S0107,V0066,web,India,2024-01-23,true,true,true,true,true,true,true,true,true
S0108,V0599,web,India,2024-01-14,true,true,true,true,true,true,false,false,false
S0109,V0784,ios,India,2024-01-31,true,false,false,false,false,false,false,false,false
S0110,V0430,ios,India,2024-01-19,true,true,true,true,true,true,false,false,false
S0111,V0560,ios,India,2024-01-18,true,false,false,false,false,false,false,false,false
S0112,V0170,ios,India,2024-01-26,true,true,true,true,true,true,true,true,true
S0113,V0139,ios,India,2024-01-27,true,true,true,true,true,true,true,true,true
S0114,V0389,ios,India,2024-01-28,true,true,true,true,true,true,false,false,false
S0115,V0432,ios,India,2024-01-09,true,false,false,false,false,false,false,false,false
S0116,V0482,ios,India,2024-01-09,true,false,false,false,false,false,false,false,false
S0117,V0054,ios,India,2024-01-01,true,false,false,false,false,false,false,false,false
S0118,V0205,ios,India,2024-01-31,true,true,true,true,true,true,false,false,false
S0119,V0172,ios,India,2024-01-27,true,true,true,true,true,true,true,true,true
S0120,V0118,ios,India,2024-01-20,true,true,false,false,false,false,false,false,false
S0121,V0319,ios,India,2024-01-25,true,false,false,false,false,false,false,false,false
S0122,V0590,ios,India,2024-01-04,true,true,false,false,false,false,false,false,false
S0123,V0385,android,India,2024-01-22,true,false,false,false,false,false,false,false,false
S0124,V0204,android,India,2024-01-13,true,false,false,false,false,false,false,false,false
S0125,V0643,android,India,2024-01-03,true,false,false,false,false,false,false,false,false
S0126,V0701,android,India,2024-01-08,true,true,false,false,false,false,false,false,false
S0127,V0580,android,India,2024-01-20,true,false,false,false,false,false,false,false,false
S0128,V0444,android,India,2024-01-26,true,true,true,true,true,true,true,true,true
S0129,V0471,android,India,2024-01-31,true,true,false,false,false,false,false,false,false
S0130,V0794,android,India,2024-01-23,true,true,true,true,true,true,false,false,false
S0131,V0607,android,India,2024-01-16,true,true,false,false,false,false,false,false,false
S0132,V0286,android,India,2024-01-09,true,true,true,false,false,false,false,false,false
S0133,V0584,android,India,2024-01-29,true,true,false,false,false,false,false,false,false
S0134,V0345,android,India,2024-01-20,true,false,false,false,false,false,false,false,false
S0135,V0570,android,India,2024-01-01,true,true,true,true,true,true,true,true,false
S0136,V0459,android,India,2024-01-01,true,true,true,true,true,true,true,true,true
S0137,V0764,android,India,2024-01-26,true,true,true,true,true,true,true,true,true
S0138,V0278,android,India,2024-01-18,true,true,false,false,false,false,false,false,false
S0139,V0190,android,India,2024-01-10,true,true,true,true,true,true,false,false,false
S0140,V0538,android,India,2024-01-07,true,true,true,true,false,false,false,false,false
S0141,V0056,web,Brazil,2024-01-20,true,true,true,true,true,true,true,true,true
S0142,V0654,web,Brazil,2024-01-18,true,true,false,false,false,false,false,false,false
S0143,V0106,web,Brazil,2024-01-28,true,false,false,false,false,false,false,false,false
S0144,V0259,web,Brazil,2024-01-28,true,true,true,true,true,false,false,false,false
S0145,V0117,web,Brazil,2024-01-31,true,false,false,false,false,false,false,false,false
S0146,V0312,web,Brazil,2024-01-27,true,true,true,true,true,true,false,false,false
S0147,V0122,web,Brazil,2024-01-03,true,false,false,false,false,false,false,false,false
S0148,V0621,web,Brazil,2024-01-18,true,false,false,false,false,false,false,false,false
S0149,V0232,web,Brazil,2024-01-20,true,false,false,false,false,false,false,false,false
S0150,V0440,ios,Brazil,2024-01-25,true,true,true,true,false,false,false,false,false
S0151,V0102,ios,Brazil,2024-01-10,true,true,true,false,false,false,false,false,false
S0152,V0641,ios,Brazil,2024-01-31,true,false,false,false,false,false,false,false,false
S0153,V0034,ios,Brazil,2024-01-07,true,true,true,true,true,true,true,true,true
S0154,V0073,ios,Brazil,2024-01-08,true,true,true,false,false,false,false,false,false
S0155,V0604,ios,Brazil,2024-01-22,true,true,true,false,false,false,false,false,false
S0156,V0203,ios,Brazil,2024-01-22,true,false,false,false,false,false,false,false,false
S0157,V0583,android,Brazil,2024-01-14,true,true,true,true,true,true,true,true,true
S0158,V0717,android,Brazil,2024-01-30,true,true,true,false,false,false,false,false,false
S0159,V0513,android,Brazil,2024-01-13,true,false,false,false,false,false,false,false,false
S0160,V0590,android,Brazil,2024-01-18,true,true,true,true,true,true,true,true,false
S0161,V0784,android,Brazil,2024-01-19,true,false,false,false,false,false,false,false,false
S0162,V0591,android,Brazil,2024-01-22,true,false,false,false,false,false,false,false,false
S0163,V0180,android,Brazil,2024-01-02,true,false,false,false,false,false,false,false,false
S0164,V0447,web,Germany,2024-01-16,true,true,true,true,false,false,false,false,false
S0165,V0094,web,Germany,2024-01-21,true,false,false,false,false,false,false,false,false
S0166,V0338,web,Germany,2024-01-16,true,true,true,true,false,false,false,false,false
S0167,V0296,web,Germany,2024-01-14,true,false,false,false,false,false,false,false,false
S0168,V0779,web,Germany,2024-01-22,true,false,false,false,false,false,false,false,false
S0169,V0002,web,Germany,2024-01-18,true,true,true,true,true,true,false,false,false
S0170,V0474,web,Germany,2024-01-22,true,false,false,false,false,false,false,false,false
S0171,V0295,web,Germany,2024-01-14,true,true,true,true,true,true,true,true,true
S0172,V0497,web,Germany,2024-01-15,true,false,false,false,false,false,false,false,false
S0173,V0117,web,Germany,2024-01-04,true,true,true,true,true,true,true,true,true
S0174,V0664,ios,Germany,2024-01-15,true,false,false,false,false,false,false,false,false
S0175,V0299,ios,Germany,2024-01-27,true,true,false,false,false,false,false,false,false
S0176,V0426,ios,Germany,2024-01-17,true,false,false,false,false,false,false,false,false
S0177,V0072,ios,Germany,2024-01-27,true,true,true,true,true,true,true,true,true
S0178,V0425,ios,Germany,2024-01-09,true,false,false,false,false,false,false,false,false
S0179,V0520,ios,Germany,2024-01-11,true,false,false,false,false,false,false,false,false
S0180,V0290,ios,Germany,2024-01-09,true,false,false,false,false,false,false,false,false
S0181,V0502,android,Germany,2024-01-24,true,true,true,false,false,false,false,false,false
S0182,V0715,android,Germany,2024-01-28,true,true,true,true,true,true,true,true,true
S0183,V0045,android,Germany,2024-01-08,true,true,true,false,false,false,false,false,false
S0184,V0723,android,Germany,2024-01-11,true,false,false,false,false,false,false,false,false
S0185,V0396,android,Germany,2024-01-30,true,false,false,false,false,false,false,false,false
S0186,V0668,android,Germany,2024-01-22,true,false,false,false,false,false,false,false,false
S0187,V0451,android,Germany,2024-01-05,true,true,true,true,true,false,false,false,false
S0188,V0347,web,US,2024-02-04,true,true,true,true,true,true,true,true,false
S0189,V0666,web,US,2024-02-20,true,false,false,false,false,false,false,false,false
S0190,V0691,web,US,2024-02-03,true,false,false,false,false,false,false,false,false
S0191,V0642,web,US,2024-02-28,true,true,false,false,false,false,false,false,false
S0192,V0500,web,US,2024-02-23,true,false,false,false,false,false,false,false,false
S0193,V0779,web,US,2024-02-28,true,true,true,true,true,true,true,true,false
S0194,V0103,web,US,2024-02-21,true,false,false,false,false,false,false,false,false
S0195,V0422,web,US,2024-02-15,true,true,true,true,true,true,true,true,true
S0196,V0185,web,US,2024-02-19,true,false,false,false,false,false,false,false,false
S0197,V0471,web,US,2024-02-06,true,true,true,true,true,true,true,true,true
S0198,V0477,web,US,2024-02-09,true,false,false,false,false,false,false,false,false
S0199,V0602,web,US,2024-02-29,true,true,true,true,false,false,false,false,false
S0200,V0435,web,US,2024-02-10,true,false,false,false,false,false,false,false,false
S0201,V0204,web,US,2024-02-23,true,true,false,false,false,false,false,false,false
S0202,V0110,web,US,2024-02-13,true,false,false,false,false,false,false,false,false
S0203,V0406,web,US,2024-02-08,true,true,true,true,true,true,false,false,false
S0204,V0797,web,US,2024-02-09,true,true,false,false,false,false,false,false,false
S0205,V0621,web,US,2024-02-24,true,false,false,false,false,false,false,false,false
S0206,V0294,web,US,2024-02-24,true,true,false,false,false,false,false,false,false
S0207,V0622,web,US,2024-02-25,true,false,false,false,false,false,false,false,false
S0208,V0643,web,US,2024-02-26,true,true,true,true,true,true,true,true,true
S0209,V0035,web,US,2024-02-21,true,true,false,false,false,false,false,false,false
S0210,V0335,web,US,2024-02-19,true,true,true,false,false,false,false,false,false
S0211,V0375,web,US,2024-02-24,true,true,true,false,false,false,false,false,false
S0212,V0494,web,US,2024-02-17,true,true,true,true,false,false,false,false,false
S0213,V0118,ios,US,2024-02-26,true,true,false,false,false,false,false,false,false
S0214,V0145,ios,US,2024-02-15,true,false,false,false,false,false,false,false,false
S0215,V0693,ios,US,2024-02-25,true,false,false,false,false,false,false,false,false
S0216,V0407,ios,US,2024-02-24,true,false,false,false,false,false,false,false,false
S0217,V0375,ios,US,2024-02-28,true,false,false,false,false,false,false,false,false
S0218,V0015,ios,US,2024-02-03,true,false,false,false,false,false,false,false,false
S0219,V0381,ios,US,2024-02-09,true,true,true,true,true,true,false,false,false
S0220,V0483,ios,US,2024-02-04,true,false,false,false,false,false,false,false,false
S0221,V0336,ios,US,2024-02-01,true,true,false,false,false,false,false,false,false
S0222,V0718,ios,US,2024-02-20,true,true,true,false,false,false,false,false,false
S0223,V0120,ios,US,2024-02-10,true,false,false,false,false,false,false,false,false
S0224,V0119,ios,US,2024-02-05,true,true,true,false,false,false,false,false,false
S0225,V0714,ios,US,2024-02-04,true,true,true,true,true,false,false,false,false
S0226,V0159,ios,US,2024-02-18,true,true,false,false,false,false,false,false,false
S0227,V0034,ios,US,2024-02-29,true,true,true,true,true,false,false,false,false
S0228,V0372,ios,US,2024-02-23,true,true,true,false,false,false,false,false,false
S0229,V0377,ios,US,2024-02-04,true,false,false,false,false,false,false,false,false
S0230,V0661,ios,US,2024-02-18,true,false,false,false,false,false,false,false,false
S0231,V0466,android,US,2024-02-12,true,true,true,false,false,false,false,false,false
S0232,V0658,android,US,2024-02-03,true,false,false,false,false,false,false,false,false
S0233,V0022,android,US,2024-02-21,true,false,false,false,false,false,false,false,false
S0234,V0250,android,US,2024-02-02,true,false,false,false,false,false,false,false,false
S0235,V0211,android,US,2024-02-05,true,false,false,false,false,false,false,false,false
S0236,V0568,android,US,2024-02-03,true,false,false,false,false,false,false,false,false
S0237,V0239,android,US,2024-02-07,true,false,false,false,false,false,false,false,false
S0238,V0611,android,US,2024-02-11,true,false,false,false,false,false,false,false,false
S0239,V0134,android,US,2024-02-01,true,true,false,false,false,false,false,false,false
S0240,V0244,android,US,2024-02-18,true,true,true,true,true,true,false,false,false
S0241,V0539,android,US,2024-02-19,true,true,true,true,false,false,false,false,false
S0242,V0488,android,US,2024-02-04,true,false,false,false,false,false,false,false,false
S0243,V0526,android,US,2024-02-15,true,false,false,false,false,false,false,false,false
S0244,V0045,android,US,2024-02-19,true,true,true,false,false,false,false,false,false
S0245,V0675,android,US,2024-02-24,true,false,false,false,false,false,false,false,false
S0246,V0412,android,US,2024-02-17,true,true,true,true,false,false,false,false,false
S0247,V0503,android,US,2024-02-14,true,false,false,false,false,false,false,false,false
S0248,V0076,web,UK,2024-02-23,true,false,false,false,false,false,false,false,false
S0249,V0544,web,UK,2024-02-29,true,true,true,true,true,true,true,true,false
S0250,V0667,web,UK,2024-02-10,true,true,true,true,true,false,false,false,false
S0251,V0739,web,UK,2024-02-29,true,false,false,false,false,false,false,false,false
S0252,V0682,web,UK,2024-02-28,true,true,true,true,true,true,true,true,true
S0253,V0069,web,UK,2024-02-09,true,true,true,false,false,false,false,false,false
S0254,V0096,web,UK,2024-02-03,true,false,false,false,false,false,false,false,false
S0255,V0134,web,UK,2024-02-14,true,true,false,false,false,false,false,false,false
S0256,V0576,web,UK,2024-02-18,true,true,false,false,false,false,false,false,false
S0257,V0421,web,UK,2024-02-11,true,false,false,false,false,false,false,false,false
S0258,V0769,web,UK,2024-02-12,true,false,false,false,false,false,false,false,false
S0259,V0739,web,UK,2024-02-14,true,false,false,false,false,false,false,false,false
S0260,V0615,ios,UK,2024-02-02,true,false,false,false,false,false,false,false,false
S0261,V0781,ios,UK,2024-02-10,true,true,true,true,true,true,true,true,true
S0262,V0575,ios,UK,2024-02-09,true,true,false,false,false,false,false,false,false
S0263,V0629,ios,UK,2024-02-25,true,false,false,false,false,false,false,false,false
S0264,V0027,ios,UK,2024-02-22,true,false,false,false,false,false,false,false,false
S0265,V0711,ios,UK,2024-02-20,true,false,false,false,false,false,false,false,false
S0266,V0360,ios,UK,2024-02-09,true,true,true,true,false,false,false,false,false
S0267,V0094,ios,UK,2024-02-01,true,true,true,true,true,true,false,false,false
S0268,V0611,ios,UK,2024-02-24,true,true,true,true,true,true,true,false,false
S0269,V0160,android,UK,2024-02-03,true,false,false,false,false,false,false,false,false
S0270,V0051,android,UK,2024-02-06,true,false,false,false,false,false,false,false,false
S0271,V0114,android,UK,2024-02-22,true,true,true,true,true,true,true,true,true
S0272,V0608,android,UK,2024-02-10,true,false,false,false,false,false,false,false,false
S0273,V0057,android,UK,2024-02-16,true,true,true,true,false,false,false,false,false
S0274,V0786,android,UK,2024-02-01,true,true,false,false,false,false,false,false,false
S0275,V0297,android,UK,2024-02-05,true,false,false,false,false,false,false,false,false
S0276,V0363,android,UK,2024-02-11,true,true,true,true,true,true,true,true,true
S0277,V0447,android,UK,2024-02-03,true,true,false,false,false,false,false,false,false
S0278,V0333,web,India,2024-02-01,true,true,true,true,true,true,true,true,true
S0279,V0633,web,India,2024-02-06,true,false,false,false,false,false,false,false,false
S0280,V0371,web,India,2024-02-15,true,false,false,false,false,false,false,false,false
S0281,V0764,web,India,2024-02-03,true,true,true,true,true,true,false,false,false
S0282,V0079,web,India,2024-02-11,true,true,false,false,false,false,false,false,false
S0283,V0544,web,India,2024-02-17,true,false,false,false,false,false,false,false,false
S0284,V0360,web,India,2024-02-17,true,true,false,false,false,false,false,false,false
S0285,V0661,web,India,2024-02-24,true,false,false,false,false,false,false,false,false
S0286,V0078,web,India,2024-02-27,true,true,true,true,true,true,false,false,false
S0287,V0644,web,India,2024-02-06,true,false,false,false,false,false,false,false,false
S0288,V0659,web,India,2024-02-16,true,true,true,true,true,false,false,false,false
S0289,V0331,web,India,2024-02-21,true,false,false,false,false,false,false,false,false
S0290,V0324,web,India,2024-02-28,true,false,false,false,false,false,false,false,false
S0291,V0606,web,India,2024-02-05,true,true,true,true,false,false,false,false,false
S0292,V0093,web,India,2024-02-02,true,true,true,true,true,true,true,true,false
S0293,V0757,web,India,2024-02-20,true,true,true,true,false,false,false,false,false
S0294,V0586,web,India,2024-02-29,true,true,false,false,false,false,false,false,false
S0295,V0462,web,India,2024-02-21,true,true,true,true,false,false,false,false,false
S0296,V0352,ios,India,2024-02-04,true,false,false,false,false,false,false,false,false
S0297,V0537,ios,India,2024-02-23,true,true,true,true,true,false,false,false,false
S0298,V0397,ios,India,2024-02-17,true,true,true,false,false,false,false,false,false
S0299,V0696,ios,India,2024-02-14,true,false,false,false,false,false,false,false,false
S0300,V0618,ios,India,2024-02-20,true,true,true,true,true,true,true,true,false
S0301,V0318,ios,India,2024-02-28,true,true,true,true,false,false,false,false,false
S0302,V0402,ios,India,2024-02-21,true,false,false,false,false,false,false,false,false
S0303,V0318,ios,India,2024-02-05,true,true,false,false,false,false,false,false,false
S0304,V0131,ios,India,2024-02-18,true,true,false,false,false,false,false,false,false
S0305,V0757,ios,India,2024-02-22,true,false,false,false,false,false,false,false,false
S0306,V0096,ios,India,2024-02-22,true,false,false,false,false,false,false,false,false
S0307,V0521,ios,India,2024-02-21,true,false,false,false,false,false,false,false,false
S0308,V0350,ios,India,2024-02-12,true,true,true,false,false,false,false,false,false
S0309,V0540,ios,India,2024-02-25,true,true,true,true,true,true,true,true,false
S0310,V0785,android,India,2024-02-02,true,false,false,false,false,false,false,false,false
S0311,V0710,android,India,2024-02-20,true,true,true,false,false,false,false,false,false
S0312,V0170,android,India,2024-02-25,true,false,false,false,false,false,false,false,false
S0313,V0244,android,India,2024-02-24,true,true,true,false,false,false,false,false,false
S0314,V0771,android,India,2024-02-15,true,false,false,false,false,false,false,false,false
S0315,V0240,android,India,2024-02-24,true,false,false,false,false,false,false,false,false
S0316,V0481,android,India,2024-02-18,true,true,false,false,false,false,false,false,false
S0317,V0377,android,India,2024-02-29,true,false,false,false,false,false,false,false,false
S0318,V0452,android,India,2024-02-22,true,false,false,false,false,false,false,false,false
S0319,V0797,android,India,2024-02-15,true,false,false,false,false,false,false,false,false
S0320,V0205,android,India,2024-02-13,true,true,true,false,false,false,false,false,false
S0321,V0257,android,India,2024-02-26,true,false,false,false,false,false,false,false,false
S0322,V0381,android,India,2024-02-02,true,false,false,false,false,false,false,false,false
S0323,V0729,android,India,2024-02-18,true,false,false,false,false,false,false,false,false
S0324,V0165,android,India,2024-02-28,true,true,true,false,false,false,false,false,false
S0325,V0094,android,India,2024-02-09,true,true,true,false,false,false,false,false,false
S0326,V0358,android,India,2024-02-08,true,false,false,false,false,false,false,false,false
S0327,V0396,android,India,2024-02-01,true,true,true,false,false,false,false,false,false
S0328,V0732,web,Brazil,2024-02-03,true,true,true,false,false,false,false,false,false
S0329,V0484,web,Brazil,2024-02-21,true,true,true,true,false,false,false,false,false
S0330,V0778,web,Brazil,2024-02-23,true,false,false,false,false,false,false,false,false
S0331,V0020,web,Brazil,2024-02-23,true,true,true,false,false,false,false,false,false
S0332,V0624,web,Brazil,2024-02-09,true,true,true,false,false,false,false,false,false
S0333,V0244,web,Brazil,2024-02-17,true,true,false,false,false,false,false,false,false
S0334,V0512,web,Brazil,2024-02-10,true,true,true,true,true,true,false,false,false
S0335,V0299,web,Brazil,2024-02-20,true,true,true,true,false,false,false,false,false
S0336,V0558,web,Brazil,2024-02-14,true,true,true,true,true,true,true,true,false
S0337,V0520,ios,Brazil,2024-02-17,true,false,false,false,false,false,false,false,false
S0338,V0045,ios,Brazil,2024-02-18,true,true,false,false,false,false,false,false,false
S0339,V0596,ios,Brazil,2024-02-21,true,true,true,true,true,true,true,true,true
S0340,V0137,ios,Brazil,2024-02-24,true,false,false,false,false,false,false,false,false
S0341,V0702,ios,Brazil,2024-02-02,true,true,true,true,false,false,false,false,false
S0342,V0491,ios,Brazil,2024-02-15,true,false,false,false,false,false,false,false,false
S0343,V0038,ios,Brazil,2024-02-21,true,true,true,true,false,false,false,false,false
S0344,V0043,android,Brazil,2024-02-10,true,true,false,false,false,false,false,false,false
S0345,V0528,android,Brazil,2024-02-11,true,false,false,false,false,false,false,false,false
S0346,V0557,android,Brazil,2024-02-13,true,false,false,false,false,false,false,false,false
S0347,V0196,android,Brazil,2024-02-16,true,true,false,false,false,false,false,false,false
S0348,V0672,android,Brazil,2024-02-10,true,true,false,false,false,false,false,false,false
S0349,V0448,android,Brazil,2024-02-11,true,true,false,false,false,false,false,false,false
S0350,V0348,android,Brazil,2024-02-29,true,true,true,false,false,false,false,false,false
S0351,V0532,web,Germany,2024-02-06,true,true,true,false,false,false,false,false,false
S0352,V0745,web,Germany,2024-02-09,true,false,false,false,false,false,false,false,false
S0353,V0559,web,Germany,2024-02-14,true,true,true,false,false,false,false,false,false
S0354,V0044,web,Germany,2024-02-10,true,true,true,true,true,true,true,true,true
S0355,V0362,web,Germany,2024-02-24,true,false,false,false,false,false,false,false,false
S0356,V0282,web,Germany,2024-02-20,true,false,false,false,false,false,false,false,false
S0357,V0059,web,Germany,2024-02-21,true,false,false,false,false,false,false,false,false
S0358,V0416,web,Germany,2024-02-03,true,false,false,false,false,false,false,false,false
S0359,V0164,web,Germany,2024-02-12,true,true,false,false,false,false,false,false,false
S0360,V0376,web,Germany,2024-02-01,true,true,true,true,true,true,false,false,false
S0361,V0381,ios,Germany,2024-02-12,true,true,true,true,true,false,false,false,false
S0362,V0588,ios,Germany,2024-02-15,true,false,false,false,false,false,false,false,false
S0363,V0512,ios,Germany,2024-02-05,true,true,true,true,true,true,false,false,false
